CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod
1,45,Female,Month-to-month,124.23,5714.58,Yes,DSL,46,Yes,Bank transfer
2,38,Male,Month-to-month,55.91,3801.88,No,Fiber optic,68,Yes,Credit card
3,47,Female,Two year,66.24,1523.52,Yes,DSL,23,No,Credit card
4,58,Female,Month-to-month,26.97,1887.9,Yes,No,70,Yes,Mailed check
5,37,Female,Month-to-month,38.01,1254.33,No,No,33,Yes,Mailed check
6,37,Male,Two year,47.4,2322.6,No,DSL,49,Yes,Credit card
7,58,Female,Month-to-month,28.4,1164.4,Yes,Fiber optic,41,Yes,Credit card
8,49,Female,Two year,57.69,1846.08,Yes,Fiber optic,32,No,Mailed check
9,34,Female,Month-to-month,50.75,1319.5,No,DSL,26,No,Mailed check
10,46,Male,One year,129.78,,No,Fiber optic,58,Yes,Bank transfer
11,34,Male,Two year,24.19,435.42,Yes,No,18,No,Credit card
12,34,Female,One year,68.59,137.18,Yes,DSL,2,Yes,Mailed check
13,42,Male,Month-to-month,73.67,5156.9,No,No,70,Yes,Credit card
14,18,Female,Month-to-month,27.54,660.96,Yes,DSL,24,Yes,Bank transfer
15,19,Male,Two year,89.04,1246.56,Yes,Fiber optic,14,No,Electronic check
16,33,Male,Month-to-month,51.06,3012.54,No,DSL,59,Yes,Credit card
17,27,Female,Month-to-month,18,396,No,Fiber optic,22,Yes,Bank transfer
18,43,Female,One year,88.09,880.9,Yes,DSL,10,No,Electronic check
19,29,Female,Month-to-month,25.91,1502.78,No,DSL,58,Yes,Credit card
20,23,Male,Month-to-month,28.33,934.89,Yes,Fiber optic,33,Yes,Bank transfer
21,57,Female,Month-to-month,89.08,534.48,Yes,DSL,6,Yes,Electronic check
22,37,Male,Month-to-month,52.85,2272.55,Yes,Fiber optic,43,Yes,Bank transfer
23,40,Male,Month-to-month,97.12,6118.56,No,DSL,63,No,Bank transfer
24,22,Female,One year,107.36,2361.92,No,DSL,22,Yes,Bank transfer
25,33,Male,Month-to-month,42.43,2418.51,No,Fiber optic,57,Yes,Bank transfer
26,41,Female,Two year,92.76,1762.44,Yes,DSL,19,Yes,Electronic check
27,26,Male,Two year,38.56,1002.56,Yes,Fiber optic,26,No,Mailed check
28,44,Female,One year,143.16,8446.44,No,Fiber optic,59,Yes,Bank transfer
29,32,Male,Month-to-month,40.75,285.25,No,No,7,Yes,Electronic check
30,36,Male,One year,100.91,6660.06,No,DSL,66,No,Bank transfer
31,32,Female,Month-to-month,94.53,94.53,No,Fiber optic,1,No,Credit card
32,62,Male,Month-to-month,76.06,1597.26,Yes,Fiber optic,21,Yes,Credit card
33,39,Female,One year,41.53,,Yes,DSL,69,Yes,Mailed check
34,27,Male,Month-to-month,59.7,2089.5,No,Fiber optic,35,Yes,Electronic check
35,49,Male,Two year,18,414,Yes,Fiber optic,23,No,Credit card
36,25,Male,Month-to-month,72.85,801.35,No,DSL,11,Yes,Electronic check
37,42,Female,One year,77.24,1622.04,Yes,No,21,No,Credit card
38,18,Female,Month-to-month,69.67,1532.74,No,Fiber optic,22,No,Electronic check
39,24,Female,Two year,18,1116,No,DSL,62,No,Bank transfer
40,42,Female,Month-to-month,20.7,600.3,No,DSL,29,Yes,Bank transfer
41,48,Female,Month-to-month,38.82,698.76,No,Fiber optic,18,No,Credit card
42,42,Male,Month-to-month,75.21,1880.25,Yes,DSL,25,Yes,Mailed check
43,38,Male,Month-to-month,75.13,751.3,No,DSL,10,Yes,Credit card
44,36,Female,Month-to-month,59.04,1121.76,Yes,DSL,19,Yes,Credit card
45,22,Male,Month-to-month,87.23,4797.65,No,DSL,55,Yes,Mailed check
46,31,Male,Month-to-month,29.08,1279.52,No,Fiber optic,44,Yes,Bank transfer
47,34,Male,Month-to-month,86.36,5786.12,No,DSL,67,Yes,Bank transfer
48,52,Male,Month-to-month,81.62,3754.52,No,DSL,46,Yes,Credit card
49,44,Female,Two year,78.21,4457.97,Yes,DSL,57,No,Electronic check
50,18,Male,One year,58.63,527.67,Yes,Fiber optic,9,No,Credit card
51,43,Female,One year,129.08,2710.68,No,Fiber optic,21,No,Bank transfer
52,35,Female,One year,82.26,5758.2,Yes,Fiber optic,70,No,Electronic check
53,31,Male,Month-to-month,31.11,715.53,No,No,23,No,Mailed check
54,47,Female,Month-to-month,73.69,4789.85,Yes,DSL,65,Yes,Bank transfer
55,52,Male,Month-to-month,91.34,5480.4,No,DSL,60,Yes,Mailed check
56,51,Male,Two year,44.42,266.52,No,Fiber optic,6,Yes,Bank transfer
57,29,Male,Two year,103.12,7321.52,Yes,DSL,71,Yes,Bank transfer
58,36,Female,Month-to-month,78.37,2899.69,No,DSL,37,Yes,Electronic check
59,43,Female,Month-to-month,18,360,No,DSL,20,No,Bank transfer
60,51,Female,Month-to-month,75.49,528.43,Yes,Fiber optic,7,Yes,Credit card
61,34,Male,Month-to-month,50.79,1371.33,No,Fiber optic,27,Yes,Mailed check
62,37,Male,Month-to-month,83.8,4441.4,Yes,No,53,Yes,Bank transfer
63,26,Male,Month-to-month,98.05,2941.5,Yes,Fiber optic,30,No,Credit card
64,25,Female,Two year,71.83,2873.2,No,Fiber optic,40,No,Mailed check
65,49,Male,Month-to-month,123.28,4438.08,No,Fiber optic,36,Yes,Credit card
66,56,Male,Two year,58.75,2173.75,No,DSL,37,No,Bank transfer
67,39,Female,One year,86.87,4343.5,Yes,DSL,50,Yes,Credit card
68,52,Female,One year,93.17,3354.12,Yes,No,36,No,Mailed check
69,44,Female,One year,61.59,1847.7,No,DSL,30,No,Mailed check
70,32,Male,One year,92.26,,No,DSL,61,No,Mailed check
71,44,Male,One year,44.19,751.23,No,DSL,17,No,Bank transfer
72,58,Male,One year,50.21,251.05,No,DSL,5,No,Electronic check
73,39,Female,Month-to-month,19.06,152.48,No,DSL,8,Yes,Credit card
74,58,Female,Two year,73.45,734.5,Yes,Fiber optic,10,No,Mailed check
75,18,Female,One year,76.38,76.38,Yes,DSL,1,No,Mailed check
76,49,Female,One year,106.27,,Yes,DSL,28,No,Electronic check
77,41,Male,Two year,92.69,4634.5,Yes,No,50,Yes,Mailed check
78,36,Male,Month-to-month,55.03,3742.04,No,Fiber optic,68,Yes,Mailed check
79,41,Male,Month-to-month,23.76,522.72,No,Fiber optic,22,Yes,Bank transfer
80,18,Male,Month-to-month,80.15,,No,Fiber optic,6,Yes,Electronic check
81,37,Male,Month-to-month,103.88,5713.4,Yes,DSL,55,Yes,Mailed check
82,44,Male,Two year,91.43,5577.23,Yes,Fiber optic,61,No,Bank transfer
83,57,Male,Month-to-month,102.96,1441.44,No,Fiber optic,14,No,Bank transfer
84,33,Male,Month-to-month,57.58,2994.16,No,Fiber optic,52,Yes,Bank transfer
85,30,Female,Month-to-month,48.67,2044.14,No,Fiber optic,42,Yes,Bank transfer
86,33,Female,Month-to-month,39.21,1333.14,No,Fiber optic,34,Yes,Electronic check
87,50,Male,One year,63.04,819.52,Yes,Fiber optic,13,No,Electronic check
88,43,Female,Two year,62.25,4233,Yes,Fiber optic,68,No,Bank transfer
89,33,Male,Month-to-month,72.23,3467.04,Yes,Fiber optic,48,No,Electronic check
90,46,Male,Month-to-month,60.47,1027.99,No,Fiber optic,17,Yes,Credit card
91,41,Female,Month-to-month,60.32,3016,Yes,Fiber optic,50,No,Credit card
92,51,Male,Month-to-month,37.82,0,No,DSL,0,Yes,Bank transfer
