CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue,TenureGroup,TotalChargesPerMonth,Electronic,MonthlyCharges_Tenure,Internet_TechSupport,LogTotalCharges
1,45,Female,Month-to-month,124.23,5714.58,Yes,DSL,46,Yes,Bank transfer,No,124.23,5714.58,Long-term,124.23,Electronic,5714.58,1,8.65077608271468
2,38,Male,Month-to-month,55.91,3801.88,No,Fiber optic,68,Yes,Credit card,No,55.91,3801.88,Long-term,55.910000000000004,Electronic,3801.8799999999997,0,8.243250960214661
3,47,Female,Two year,66.24,1523.52,Yes,DSL,23,No,Credit card,No,66.24,1523.52,Intermediate,66.24,Electronic,1523.52,1,7.328778726006154
4,58,Female,Month-to-month,26.97,1887.9,Yes,No,70,Yes,Mailed check,No,26.97,1887.9,Long-term,26.970000000000002,Non-Electronic,1887.8999999999999,0,7.5432203792009975
5,37,Female,Month-to-month,38.01,1254.33,No,No,33,Yes,Mailed check,No,38.01,1254.33,Long-term,38.01,Non-Electronic,1254.33,0,7.1343568444676375
6,37,Male,Two year,47.4,2322.6,No,DSL,49,Yes,Credit card,No,47.4,2322.6,Long-term,47.4,Electronic,2322.6,0,7.750442526811657
7,58,Female,Month-to-month,28.4,1164.4,Yes,Fiber optic,41,Yes,Credit card,No,28.4,1164.4,Long-term,28.400000000000002,Electronic,1164.3999999999999,1,7.059961211871468
8,49,Female,Two year,57.69,1846.08,Yes,Fiber optic,32,No,Mailed check,No,57.69,1846.08,Long-term,57.69,Non-Electronic,1846.08,1,7.520819751068524
9,34,Female,Month-to-month,50.75,1319.5,No,DSL,26,No,Mailed check,No,50.75,1319.5,Long-term,50.75,Non-Electronic,1319.5,0,7.185008155943379
10,46,Male,One year,129.78,,No,Fiber optic,58,Yes,Bank transfer,No,,7527.24,Long-term,,Electronic,7527.24,0,
11,34,Male,Two year,24.19,435.42,Yes,No,18,No,Credit card,No,24.19,435.42,Intermediate,24.19,Electronic,435.42,0,6.0763110825181
12,34,Female,One year,68.59,137.18,Yes,DSL,2,Yes,Mailed check,No,68.59,137.18,New,68.59,Non-Electronic,137.18,1,4.921293932071175
13,42,Male,Month-to-month,73.67,5156.9,No,No,70,Yes,Credit card,No,73.67,5156.9,Long-term,73.67,Electronic,5156.900000000001,0,8.54809090274408
14,18,Female,Month-to-month,27.54,660.96,Yes,DSL,24,Yes,Bank transfer,No,27.54,660.96,Intermediate,27.540000000000003,Electronic,660.96,1,6.493693323648454
15,19,Male,Two year,89.04,1246.56,Yes,Fiber optic,14,No,Electronic check,No,89.04,1246.56,Intermediate,89.03999999999999,Non-Electronic,1246.5600000000002,1,7.128143036582548
